Row_ID,Order_ID,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Shipping_Days,Order_Date,Ship_Date,Season,Profit_Margin
24,US-2023-157147,"Standard Class",BD-11605,"Brian Dahlen",Consumer,"United States","San Francisco",California,94109,West,OFF-AR-10003514,"Office Supplies",Art,"4009 Highlighters by Sanford",19.90,5,0.00,6.57,5,2023-01-13,2023-01-18,Winter,0.3302
25,US-2023-118192,"Standard Class",MM-17920,"Michael Moore",Consumer,"United States",Newark,Ohio,43055,East,OFF-BI-10003476,"Office Supplies",Binders,"Avery Metallic Poly Binders",3.44,2,0.70,-2.52,5,2023-01-13,2023-01-18,Winter,-0.7326
26,US-2023-162775,"Second Class",CS-12250,"Chris Selesnick",Corporate,"United States","Bossier City",Louisiana,71111,South,OFF-BI-10004187,"Office Supplies",Binders,"3-ring staple pack",5.64,3,0.00,2.71,2,2023-01-13,2023-01-15,Winter,0.4805
27,US-2023-162775,"Second Class",CS-12250,"Chris Selesnick",Corporate,"United States","Bossier City",Louisiana,71111,South,OFF-EN-10001532,"Office Supplies",Envelopes,"Brown Kraft Recycled Envelopes",50.94,3,0.00,25.47,2,2023-01-13,2023-01-15,Winter,0.5000
28,US-2023-162775,"Second Class",CS-12250,"Chris Selesnick",Corporate,"United States","Bossier City",Louisiana,71111,South,OFF-EN-10001990,"Office Supplies",Envelopes,"Staple envelope",11.36,2,0.00,5.34,2,2023-01-13,2023-01-15,Winter,0.4701
29,US-2023-118192,"Standard Class",MM-17920,"Michael Moore",Consumer,"United States",Newark,Ohio,43055,East,OFF-PA-10002947,"Office Supplies",Paper,"Xerox 1923",37.41,7,0.20,13.09,5,2023-01-13,2023-01-18,Winter,0.3499
30,US-2023-162775,"Second Class",CS-12250,"Chris Selesnick",Corporate,"United States","Bossier City",Louisiana,71111,South,OFF-ST-10000025,"Office Supplies",Storage,"Fellowes Stor/Drawer Steel Plus Storage Drawers",572.58,6,0.00,34.35,2,2023-01-13,2023-01-15,Winter,0.0600
31,US-2023-157147,"Standard Class",BD-11605,"Brian Dahlen",Consumer,"United States","San Francisco",California,94109,West,OFF-ST-10000078,"Office Supplies",Storage,"Tennsco 6- and 18-Compartment Lockers",1325.85,5,0.00,238.65,5,2023-01-13,2023-01-18,Winter,0.1800
32,US-2023-162775,"Second Class",CS-12250,"Chris Selesnick",Corporate,"United States","Bossier City",Louisiana,71111,South,TEC-AC-10003174,Technology,Accessories,"Plantronics S12 Corded Telephone Headset System",646.74,6,0.00,258.70,2,2023-01-13,2023-01-15,Winter,0.4000
33,US-2023-149524,"First Class",BS-11590,"Brendan Sweed",Corporate,"United States",Philadelphia,Pennsylvania,19140,East,FUR-BO-10003433,Furniture,Bookcases,"Sauder Cornerstone Collection Library",61.96,4,0.50,-53.29,1,2023-01-14,2023-01-15,Winter,-0.8601
34,US-2023-103366,"First Class",EH-13990,"Erica Hackney",Consumer,"United States",Roswell,Georgia,30076,South,TEC-AC-10003628,Technology,Accessories,"Logitech 910-002974 M325 Wireless Mouse for Web Scrolling",149.95,5,0.00,65.98,2,2023-01-15,2023-01-17,Winter,0.4400
35,US-2023-115791,"Second Class",DL-13315,"Delfina Latchford",Consumer,"United States",Philadelphia,Pennsylvania,19134,East,FUR-FU-10001095,Furniture,Furnishings,"DAX Black Cherry Wood-Tone Poster Frame",127.10,6,0.20,28.60,2,2023-01-16,2023-01-18,Winter,0.2250
36,US-2023-115791,"Second Class",DL-13315,"Delfina Latchford",Consumer,"United States",Philadelphia,Pennsylvania,19134,East,OFF-BI-10001575,"Office Supplies",Binders,"GBC Linen Binding Covers",18.59,2,0.70,-13.63,2,2023-01-16,2023-01-18,Winter,-0.7332
37,US-2023-115791,"Second Class",DL-13315,"Delfina Latchford",Consumer,"United States",Philadelphia,Pennsylvania,19134,East,OFF-LA-10001074,"Office Supplies",Labels,"Round Specialty Laser Printer Labels",30.07,3,0.20,10.15,2,2023-01-16,2023-01-18,Winter,0.3375
38,US-2023-115791,"Second Class",DL-13315,"Delfina Latchford",Consumer,"United States",Philadelphia,Pennsylvania,19134,East,TEC-PH-10004614,Technology,Phones,"AT&T 841000 Phone",124.20,3,0.40,-31.05,2,2023-01-16,2023-01-18,Winter,-0.2500
39,US-2023-123477,"Second Class",DW-13195,"David Wiener",Corporate,"United States",Springfield,Oregon,97477,West,OFF-AP-10000692,"Office Supplies",Appliances,"Fellowes Mighty 8 Compact Surge Protector",64.86,4,0.20,6.49,3,2023-01-18,2023-01-21,Winter,0.1001
40,US-2023-146591,"First Class",TS-21340,"Toby Swindell",Consumer,"United States",Scottsdale,Arizona,85254,West,FUR-BO-10001972,Furniture,Bookcases,"O'Sullivan 4-Shelf Bookcase in Odessa Pine",181.47,5,0.70,-320.60,1,2023-01-19,2023-01-20,Winter,-1.7667
41,US-2023-146591,"First Class",TS-21340,"Toby Swindell",Consumer,"United States",Scottsdale,Arizona,85254,West,OFF-BI-10003676,"Office Supplies",Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",32.34,10,0.70,-23.72,1,2023-01-19,2023-01-20,Winter,-0.7335
42,US-2023-146591,"First Class",TS-21340,"Toby Swindell",Consumer,"United States",Scottsdale,Arizona,85254,West,OFF-EN-10002504,"Office Supplies",Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",108.72,5,0.20,36.69,1,2023-01-19,2023-01-20,Winter,0.3375
43,US-2023-146591,"First Class",TS-21340,"Toby Swindell",Consumer,"United States",Scottsdale,Arizona,85254,West,OFF-PA-10000659,"Office Supplies",Paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",56.06,4,0.20,19.62,1,2023-01-19,2023-01-20,Winter,0.3500
44,US-2023-147627,"Standard Class",HL-15040,"Hunter Lopez",Consumer,"United States",Jonesboro,Arkansas,72401,South,FUR-CH-10002331,Furniture,Chairs,"Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms",1067.94,3,0.00,224.27,6,2023-01-20,2023-01-26,Winter,0.2100
45,US-2023-167927,"Standard Class",XP-21865,"Xylona Preis",Consumer,"United States",Westland,Michigan,48185,Central,FUR-FU-10002268,Furniture,Furnishings,"Ultra Door Push Plate",14.73,3,0.00,4.86,6,2023-01-20,2023-01-26,Winter,0.3299
46,US-2023-167927,"Standard Class",XP-21865,"Xylona Preis",Consumer,"United States",Westland,Michigan,48185,Central,FUR-FU-10002918,Furniture,Furnishings,"Eldon ClusterMat Chair Mat with Cordless Antistatic Protection",272.94,3,0.00,30.02,6,2023-01-20,2023-01-26,Winter,0.1100
47,US-2023-147627,"Standard Class",HL-15040,"Hunter Lopez",Consumer,"United States",Jonesboro,Arkansas,72401,South,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",38.60,4,0.00,11.58,6,2023-01-20,2023-01-26,Winter,0.3000
48,US-2023-148614,"Standard Class",MV-17485,"Mark Van Huff",Consumer,"United States","Los Angeles",California,90049,West,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.30,2,0.00,5.79,5,2023-01-20,2023-01-25,Winter,0.3000
49,US-2023-167927,"Standard Class",XP-21865,"Xylona Preis",Consumer,"United States",Westland,Michigan,48185,Central,OFF-AP-10002311,"Office Supplies",Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",247.72,4,0.10,93.58,6,2023-01-20,2023-01-26,Winter,0.3778
50,US-2023-147627,"Standard Class",HL-15040,"Hunter Lopez",Consumer,"United States",Jonesboro,Arkansas,72401,South,OFF-AR-10002375,"Office Supplies",Art,"Newell 351",22.96,7,0.00,6.66,6,2023-01-20,2023-01-26,Winter,0.2901
51,US-2023-147627,"Standard Class",HL-15040,"Hunter Lopez",Consumer,"United States",Jonesboro,Arkansas,72401,South,OFF-AR-10003811,"Office Supplies",Art,"Newell 327",6.63,3,0.00,1.79,6,2023-01-20,2023-01-26,Winter,0.2700
52,US-2023-167927,"Standard Class",XP-21865,"Xylona Preis",Consumer,"United States",Westland,Michigan,48185,Central,OFF-AR-10004456,"Office Supplies",Art,"Panasonic KP-4ABK Battery-Operated Pencil Sharpener",43.92,3,0.00,12.74,6,2023-01-20,2023-01-26,Winter,0.2901
53,US-2023-167927,"Standard Class",XP-21865,"Xylona Preis",Consumer,"United States",Westland,Michigan,48185,Central,OFF-BI-10000605,"Office Supplies",Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2" x 11", Executive Red",19.05,5,0.00,8.95,6,2023-01-20,2023-01-26,Winter,0.4698
54,US-2023-147774,"Standard Class",MM-18280,"Muhammed MacIntyre",Corporate,"United States",Smyrna,Tennessee,37167,South,OFF-BI-10003091,"Office Supplies",Binders,"GBC DocuBind TL200 Manual Binding Machine",67.19,1,0.70,-51.52,6,2023-01-20,2023-01-26,Winter,-0.7668
55,US-2023-167927,"Standard Class",XP-21865,"Xylona Preis",Consumer,"United States",Westland,Michigan,48185,Central,OFF-BI-10004364,"Office Supplies",Binders,"Storex Dura Pro Binders",29.70,5,0.00,13.37,6,2023-01-20,2023-01-26,Winter,0.4502
56,US-2023-147627,"Standard Class",HL-15040,"Hunter Lopez",Consumer,"United States",Jonesboro,Arkansas,72401,South,OFF-EN-10001539,"Office Supplies",Envelopes,"Staple envelope",23.34,3,0.00,10.97,6,2023-01-20,2023-01-26,Winter,0.4700
57,US-2023-148614,"Standard Class",MV-17485,"Mark Van Huff",Consumer,"United States","Los Angeles",California,90049,West,OFF-PA-10002893,"Office Supplies",Paper,"Wirebound Service Call Books, 5 1/2" x 4"",19.36,2,0.00,9.29,5,2023-01-20,2023-01-25,Winter,0.4799
58,US-2023-167927,"Standard Class",XP-21865,"Xylona Preis",Consumer,"United States",Westland,Michigan,48185,Central,OFF-ST-10000760,"Office Supplies",Storage,"Eldon Fold 'N Roll Cart System",13.98,1,0.00,4.05,6,2023-01-20,2023-01-26,Winter,0.2897
59,US-2023-167927,"Standard Class",XP-21865,"Xylona Preis",Consumer,"United States",Westland,Michigan,48185,Central,OFF-ST-10003123,"Office Supplies",Storage,"Fellowes Bases and Tops For Staxonsteel/High-Stak Systems",66.58,2,0.00,15.98,6,2023-01-20,2023-01-26,Winter,0.2400
60,US-2023-147627,"Standard Class",HL-15040,"Hunter Lopez",Consumer,"United States",Jonesboro,Arkansas,72401,South,TEC-PH-10001061,Technology,Phones,"Apple iPhone 5C",699.93,7,0.00,181.98,6,2023-01-20,2023-01-26,Winter,0.2600
61,US-2023-110422,"Second Class",TB-21400,"Tom Boeckenhauer",Consumer,"United States",Miami,Florida,33180,South,FUR-FU-10001889,Furniture,Furnishings,"Ultra Door Pull Handle",25.25,3,0.20,4.10,2,2023-01-21,2023-01-23,Winter,0.1624
62,CA-2023-115238,"Standard Class",JW-15220,"Jane Waco",Corporate,Canada,Toronto,Ontario,M7A,East,FUR-FU-10001025,Furniture,Furnishings,"Eldon Imàge Series Desk Accessories, Clear",24.30,5,0.00,10.45,3,2023-01-21,2023-01-24,Winter,0.4300
63,CA-2023-115238,"Standard Class",JW-15220,"Jane Waco",Corporate,Canada,Toronto,Ontario,M7A,East,FUR-FU-10002445,Furniture,Furnishings,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",9.48,1,0.00,3.79,3,2023-01-21,2023-01-24,Winter,0.3998
64,CA-2023-115238,"Standard Class",JW-15220,"Jane Waco",Corporate,Canada,Toronto,Ontario,M7A,East,FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",31.40,5,0.00,13.19,3,2023-01-21,2023-01-24,Winter,0.4201
65,CA-2023-115238,"Standard Class",JW-15220,"Jane Waco",Corporate,Canada,Toronto,Ontario,M7A,East,OFF-PA-10002689,"Office Supplies",Paper,"Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright)",6.48,1,0.00,3.11,3,2023-01-21,2023-01-24,Winter,0.4799
66,CA-2023-115238,"Standard Class",JW-15220,"Jane Waco",Corporate,Canada,Toronto,Ontario,M7A,East,TEC-PH-10001300,Technology,Phones,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4",209.50,10,0.00,58.66,3,2023-01-21,2023-01-24,Winter,0.2800
67,US-2023-146997,"Standard Class",SG-20605,"Speros Goranitis",Consumer,"United States",Lafayette,Indiana,47905,Central,OFF-FA-10003467,"Office Supplies",Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack",5.94,3,0.00,0.00,4,2023-01-23,2023-01-27,Winter,0.0000
68,US-2023-102645,"Standard Class",IM-15055,"Ionia McGrath",Consumer,"United States","Las Vegas",Nevada,89115,West,OFF-PA-10001804,"Office Supplies",Paper,"Xerox 195",40.08,6,0.00,19.24,5,2023-01-23,2023-01-28,Winter,0.4800
69,US-2023-167997,"First Class",CA-11965,"Carol Adams",Corporate,"United States","Rapid City","South Dakota",57701,Central,FUR-BO-10004409,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",141.96,2,0.00,39.75,3,2023-01-26,2023-01-29,Winter,0.2800
70,US-2023-155502,"Standard Class",SD-20485,"Shirley Daniels","Home Office","United States",Alexandria,Virginia,22304,South,FUR-FU-10001847,Furniture,Furnishings,"Eldon Image Series Black Desk Accessories",12.42,3,0.00,4.47,5,2023-01-26,2023-01-31,Winter,0.3599
71,US-2023-155502,"Standard Class",SD-20485,"Shirley Daniels","Home Office","United States",Alexandria,Virginia,22304,South,FUR-FU-10004587,Furniture,Furnishings,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",62.82,3,0.00,30.78,5,2023-01-26,2023-01-31,Winter,0.4900
72,US-2023-167997,"First Class",CA-11965,"Carol Adams",Corporate,"United States","Rapid City","South Dakota",57701,Central,OFF-BI-10001758,"Office Supplies",Binders,"Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders",10.68,2,0.00,5.02,3,2023-01-26,2023-01-29,Winter,0.4700
73,US-2023-155502,"Standard Class",SD-20485,"Shirley Daniels","Home Office","United States",Alexandria,Virginia,22304,South,OFF-PA-10000380,"Office Supplies",Paper,"REDIFORM Incoming/Outgoing Call Register, 11" X 8 1/2", 100 Messages",16.68,2,0.00,8.34,5,2023-01-26,2023-01-31,Winter,0.5000
74,US-2023-155502,"Standard Class",SD-20485,"Shirley Daniels","Home Office","United States",Alexandria,Virginia,22304,South,OFF-PA-10003072,"Office Supplies",Paper,"Eureka Recycled Copy Paper 8 1/2" x 11", Ream",19.44,3,0.00,9.33,5,2023-01-26,2023-01-31,Winter,0.4799
75,US-2023-155502,"Standard Class",SD-20485,"Shirley Daniels","Home Office","United States",Alexandria,Virginia,22304,South,OFF-ST-10004337,"Office Supplies",Storage,"SAFCO Commercial Wire Shelving, 72h",489.92,8,0.00,0.00,5,2023-01-26,2023-01-31,Winter,0.0000
76,US-2023-155502,"Standard Class",SD-20485,"Shirley Daniels","Home Office","United States",Alexandria,Virginia,22304,South,TEC-PH-10002103,Technology,Phones,"Jabra SPEAK 410",187.98,2,0.00,52.63,5,2023-01-26,2023-01-31,Winter,0.2800
77,US-2023-155502,"Standard Class",SD-20485,"Shirley Daniels","Home Office","United States",Alexandria,Virginia,22304,South,TEC-PH-10004833,Technology,Phones,"Macally Suction Cup Mount",155.35,13,0.00,0.00,5,2023-01-26,2023-01-31,Winter,0.0000
78,US-2023-117163,"Standard Class",EJ-13720,"Ed Jacobs",Consumer,"United States","San Diego",California,92037,West,FUR-TA-10003469,Furniture,Tables,"Balt Split Level Computer Training Table",333.00,3,0.20,-16.65,6,2023-01-27,2023-02-02,Winter,-0.0500
79,US-2023-117163,"Standard Class",EJ-13720,"Ed Jacobs",Consumer,"United States","San Diego",California,92037,West,OFF-AR-10003179,"Office Supplies",Art,"Dixon Ticonderoga Core-Lock Colored Pencils",36.44,4,0.00,12.03,6,2023-01-27,2023-02-02,Winter,0.3301
80,US-2023-117163,"Standard Class",EJ-13720,"Ed Jacobs",Consumer,"United States","San Diego",California,92037,West,OFF-ST-10003692,"Office Supplies",Storage,"Recycled Steel Personal File for Hanging File Folders",57.23,1,0.00,14.31,6,2023-01-27,2023-02-02,Winter,0.2500
81,US-2023-100328,"Standard Class",JC-15340,"Jasper Cacioppo",Consumer,"United States","New York City","New York",10024,East,OFF-BI-10000343,"Office Supplies",Binders,"Pressboard Covers with Storage Hooks, 9 1/2" x 11", Light Blue",3.93,1,0.20,1.33,6,2023-01-28,2023-02-03,Winter,0.3384
82,US-2023-134103,"Standard Class",MV-18190,"Mike Vittorini",Consumer,"United States",Detroit,Michigan,48234,Central,OFF-PA-10001204,"Office Supplies",Paper,"Xerox 1972",10.56,2,0.00,4.75,5,2023-01-30,2023-02-04,Winter,0.4498
83,US-2023-134103,"Standard Class",MV-18190,"Mike Vittorini",Consumer,"United States",Detroit,Michigan,48234,Central,OFF-ST-10000991,"Office Supplies",Storage,"Space Solutions HD Industrial Steel Shelving.",229.94,2,0.00,6.90,5,2023-01-30,2023-02-04,Winter,0.0300
84,US-2023-115161,"First Class",LC-17050,"Liz Carlisle",Consumer,"United States","Mission Viejo",California,92691,West,FUR-BO-10003966,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",290.67,2,0.15,3.42,2,2023-01-31,2023-02-02,Winter,0.0118
85,US-2023-140795,"First Class",BD-11500,"Bradley Drucker",Consumer,"United States","Green Bay",Wisconsin,54302,Central,TEC-AC-10001432,Technology,Accessories,"Enermax Aurora Lite Keyboard",468.90,6,0.00,206.32,2,2023-02-01,2023-02-03,Winter,0.4400
86,US-2023-123400,"Standard Class",EB-13930,"Eric Barreto",Consumer,"United States","Saint Petersburg",Florida,33710,South,OFF-BI-10000666,"Office Supplies",Binders,"Surelock Post Binders",18.34,2,0.70,-12.22,7,2023-02-02,2023-02-09,Winter,-0.6663
87,US-2023-139857,"Standard Class",CD-12790,"Cynthia Delaney","Home Office","United States","San Diego",California,92037,West,OFF-FA-10001843,"Office Supplies",Fasteners,Staples,12.35,5,0.00,5.80,4,2023-02-02,2023-02-06,Winter,0.4696
88,US-2023-123400,"Standard Class",EB-13930,"Eric Barreto",Consumer,"United States","Saint Petersburg",Florida,33710,South,TEC-PH-10002890,Technology,Phones,"AT&T 17929 Lendline Telephone",180.96,5,0.20,13.57,7,2023-02-02,2023-02-09,Winter,0.0750
89,US-2023-111059,"Second Class",TB-21400,"Tom Boeckenhauer",Consumer,"United States",Seattle,Washington,98105,West,OFF-BI-10002827,"Office Supplies",Binders,"Avery Durable Poly Binders",13.27,3,0.20,4.31,3,2023-02-03,2023-02-06,Winter,0.3248
90,US-2023-111059,"Second Class",TB-21400,"Tom Boeckenhauer",Consumer,"United States",Seattle,Washington,98105,West,OFF-BI-10004593,"Office Supplies",Binders,"Ibico Laser Imprintable Binding System Covers",83.84,2,0.20,27.25,3,2023-02-03,2023-02-06,Winter,0.3250
91,US-2023-104808,"Second Class",MH-17440,"Mark Haberlin",Corporate,"United States",Escondido,California,92025,West,OFF-BI-10003676,"Office Supplies",Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",17.25,2,0.20,6.04,4,2023-02-04,2023-02-08,Winter,0.3501
92,US-2023-107181,"Standard Class",DB-13270,"Deborah Brumfield","Home Office","United States","San Diego",California,92024,West,OFF-BI-10004230,"Office Supplies",Binders,"GBC Recycled Grain Textured Covers",82.90,3,0.20,29.01,4,2023-02-04,2023-02-08,Winter,0.3499
93,US-2023-107181,"Standard Class",DB-13270,"Deborah Brumfield","Home Office","United States","San Diego",California,92024,West,OFF-PA-10000350,"Office Supplies",Paper,"Message Book, Standard Line "While You Were Out", 5 1/2" X 4", 200 Sets/Book",34.24,4,0.00,16.09,4,2023-02-04,2023-02-08,Winter,0.4699
94,US-2023-108182,"Second Class",DL-13315,"Delfina Latchford",Consumer,"United States",Romeoville,Illinois,60441,Central,OFF-BI-10001196,"Office Supplies",Binders,"Avery Flip-Chart Easel Binder, Black",8.95,2,0.80,-14.77,4,2023-02-06,2023-02-10,Winter,-1.6503
95,US-2023-131905,"First Class",ND-18460,"Neil Ducich",Corporate,"United States",Chesapeake,Virginia,23320,South,OFF-LA-10002787,"Office Supplies",Labels,"Avery 480",15.00,4,0.00,7.20,3,2023-02-06,2023-02-09,Winter,0.4800
96,US-2023-131905,"First Class",ND-18460,"Neil Ducich",Corporate,"United States",Chesapeake,Virginia,23320,South,TEC-PH-10001615,Technology,Phones,"AT&T CL82213",144.95,5,0.00,42.04,3,2023-02-06,2023-02-09,Winter,0.2900
97,US-2023-131905,"First Class",ND-18460,"Neil Ducich",Corporate,"United States",Chesapeake,Virginia,23320,South,TEC-PH-10003645,Technology,Phones,"Aastra 57i VoIP phone",161.61,1,0.00,42.02,3,2023-02-06,2023-02-09,Winter,0.2600
